city-id,city_state,name,url
388,31,Avadi,avadi
389,31,Tiruvottiyur,tiruvottiyur
390,31,Thoothukkudi,thoothukkudi
391,31,Nagercoil,nagercoil
392,31,Thanjavur,thanjavur
393,31,Pallavaram,pallavaram
394,31,Dindigul,dindigul
395,31,Vellore,vellore
396,31,Tambaram,tambaram
397,31,Cuddalore,cuddalore
398,31,Alandur,alandur
399,31,Kancheepuram,kancheepuram
400,31,Erode,erode
401,31,Tiruvannamalai,tiruvannamalai
402,31,Kumbakonam,kumbakonam
403,31,Rajapalayam,rajapalayam
404,31,Kurichi,kurichi
405,31,Madavaram,madavaram
406,31,Pudukkottai,pudukkottai
407,31,Hosur,hosur
408,31,Ambur,ambur
409,31,Karaikkudi,karaikkudi
410,31,Neyveli,neyveli
411,31,Nagapattinam,nagapattinam
412,32,Hyderabad,hyderabad
413,32,Warangal,warangal
414,32,Nizamabad,nizamabad
415,32,Khammam,khammam
416,32,Karimnagar,karimnagar
417,32,Ramagundam,ramagundam
418,32,Mahbubnagar,mahbubnagar
419,32,Nalgonda,nalgonda
420,32,Adilabad,adilabad
421,32,Suryapet,suryapet
422,32,Siddipet,siddipet
423,32,Miryalaguda,miryalaguda
424,33,Agartala,agartala
425,34,Lucknow,lucknow
426,34,Kanpur,kanpur
427,34,Ghaziabad,ghaziabad
428,34,Agra,agra
429,34,Meerut,meerut
430,34,Varanasi,varanasi
431,34,Allahabad,allahabad
432,34,Bareilly,bareilly
433,34,Moradabad,moradabad
434,34,Aligarh,aligarh
435,34,Saharanpur,saharanpur
436,34,Gorakhpur,gorakhpur
437,34,Noida,noida
438,34,Firozabad,firozabad
439,34,Loni,loni
440,34,Jhansi,jhansi
441,34,Muzaffarnagar,muzaffarnagar
442,34,Mathura,mathura
443,34,Shahjahanpur,shahjahanpur
444,34,Rampur,rampur
445,34,Maunath-Bhanjan,maunath-bhanjan
446,34,Farrukhabad-and-Fatehgarh,farrukhabad-and-fatehgarh
447,34,Hapur,hapur
448,34,Etawah,etawah
449,34,Mirzapur-and-Vindhyachal,mirzapur-and-vindhyachal
450,34,Bulandshahr,bulandshahr
451,34,Sambhal,sambhal
452,34,Amroha,amroha
453,34,Fatehpur,fatehpur
454,34,Rae-Bareli,rae-bareli
455,34,Khora,khora
456,34,Orai,orai
457,34,Bahraich,bahraich
458,34,Jaunpur,jaunpur
459,34,Unnao,unnao
460,34,Sitapur,sitapur
461,34,Faizabad,faizabad
462,34,Budaun,budaun
463,34,Banda,banda
464,34,Lakhimpur,lakhimpur
465,34,Hathras,hathras
466,34,Lalitpur,lalitpur
467,34,Modinagar,modinagar
468,34,Deoria,deoria
469,34,Pilibhit,pilibhit
470,34,Hardoi,hardoi
471,34,Mainpuri,mainpuri
472,34,Etah,etah
473,34,Basti,basti
474,34,Chandausi,chandausi
475,34,Gonda,gonda
476,34,Akbarpur,akbarpur
477,34,Khurja,khurja
478,34,Azamgarh,azamgarh
479,34,Ghazipur,ghazipur
480,34,Mughalsarai,mughalsarai
481,34,Kanpur-Cantonment,kanpur-cantonment
482,34,Sultanpur,sultanpur
483,34,Shikohabad,shikohabad
484,34,Shamli,shamli
485,34,Ballia,ballia
486,34,Baraut,baraut
487,34,Greater-Noida,greater-noida
488,34,Kasganj,kasganj
489,35,Dehradun,dehradun
490,35,Haridwar,haridwar
491,35,Nainital,nainital
492,35,Rudrapur,rudrapur
493,35,Kashipur,kashipur
494,35,Roorkee,roorkee
495,36,Kolkata,kolkata
496,36,Howrah,howrah
497,36,Durgapur,durgapur
498,36,Asansol,asansol
499,36,Siliguri,siliguri
500,36,Maheshtala,maheshtala
501,36,Rajpur-Sonarpur,rajpur-sonarpur
502,36,South-Dum-Dum,south-dum-dum
503,36,Rajarhat-Gopalpur,rajarhat-gopalpur
504,36,Bhatpara,bhatpara
505,36,Panihati,panihati
506,36,Kamarhati,kamarhati
507,36,Barddhaman,barddhaman
508,36,Kulti,kulti
509,36,Bally,bally
510,36,Barasat,barasat
511,36,North-Dum-Dum,north-dum-dum
512,36,Baranagar,baranagar
513,36,Uluberia,uluberia
514,36,Naihati,naihati
515,36,Bidhan-Nagar,bidhan-nagar
516,36,Kharagpur,kharagpur
517,36,English-Bazar,english-bazar
518,36,Haldia,haldia
519,36,Madhyamgram,madhyamgram
520,36,Baharampur,baharampur
521,36,Raiganj,raiganj
522,36,Serampore,serampore
523,36,Hugli-and-Chinsurah,hugli-and-chinsurah
524,36,Medinipur,medinipur
525,36,Chandannagar,chandannagar
526,36,Uttarpara-Kotrung,uttarpara-kotrung
527,36,Krishnanagar,krishnanagar
528,36,Barrackpur,barrackpur
529,36,Santipur,santipur
530,36,Balurghat,balurghat
531,36,Habra,habra
532,36,Jamuria,jamuria
533,36,Bankura,bankura
534,36,North-Barrackpur,north-barrackpur
535,36,Raniganj,raniganj
536,36,Nabadwip,nabadwip
537,36,Basirhat,basirhat
538,36,Halisahar,halisahar
539,36,Rishra,rishra
540,36,Ashokenagar-Kalyangarh,ashokenagar-kalyangarh
541,36,Baidyabati,baidyabati
542,36,Puruliya,puruliya
543,36,Kanchrapara,kanchrapara
544,36,Dabgram,dabgram
545,36,Darjiling,darjiling
546,36,Titagarh,titagarh
547,36,Dum-Dum,dum-dum
548,36,Bally-Town,bally-town
549,36,Champdani,champdani
550,36,Bongaon,bongaon
551,36,Khardaha,khardaha
552,36,Jalpaiguri,jalpaiguri
553,36,Bansberia,bansberia
554,36,Bhadreswar,bhadreswar
555,36,Kalyani,kalyani
